member_id,join_date,join_store,birth_year,gender,tier,phone_hash,email,opt_in_marketing
M000067,2025-10-14,S99,1969,M,金卡,80a4362804cdc2c1,,1
M000068,2025-11-22,S99,1978,F,一般,2c5aea675d033049,chiang.kuanting09@msa.hinet.net,0
M000069,2025-04-25,S05,2004,F,銀卡,7d5bb4aa37862c39,huang.shengwei24@hotmail.com,1
M000070,2025-02-18,S04,1996,F,VIP,8f46aea00ef52fda,chiu.ruoyu22@outlook.com,1
M000071,2025-08-27,S06,1987,F,一般,d93e686a9d504c3d,yeh.tzuchi27@gmail.com,1
M000072,2025-02-19,S01,2004,F,銀卡,0f2f1db6c82196ef,cheng.chiahao08@icloud.com,0
M000073,2025-05-24,S05,2001,M,一般,58c302a11902f471,wang.meiling61@hotmail.com,0
M000074,2025-05-26,S04,1992,F,一般,2dc38127cae12eec,,1
M000075,2025-11-25,S05,1999,F,一般,217045f1922de599,chung.yuchen89@outlook.com,1
M000076,2026-02-10,S02,1994,F,一般,7d01bd3df045338b,liu.yuhsuan63@hotmail.com,0
M000077,2025-08-26,S02,2000,F,一般,d48075efef0bb60f,wang.peichun86@outlook.com,0
M000078,2025-03-13,S03,2003,M,一般,a8a9cd67f08986c2,chou.kuanting05@msa.hinet.net,1
M000079,2025-01-20,S04,1993,F,一般,35934aed3ee7a6e0,chou.ruoyu91@yahoo.com.tw,1
M000080,2025-03-23,S02,1989,F,一般,cbeab830c38095eb,chang.kuanting94@yahoo.com.tw,0
M000081,2025-03-14,S03,2005,M,一般,b5b57d6f148491af,hung.yating01@outlook.com,1
M000082,2026-04-23,S05,1981,F,一般,ee9c3bcbd0551b00,lai.yijun05@icloud.com,1
M000083,2025-02-11,S06,1951,F,VIP,6aa8b930d8aef183,lin.chiahao56@outlook.com,0
M000084,2026-01-24,S01,1971,M,一般,4af6111443d03021,liao.kuanting78@icloud.com,1
M000085,2026-05-09,S01,1998,M,一般,48237eff1292abc9,,1
M000086,2025-03-13,S03,2005,F,一般,5ed86d59b55ffcaf,liu.chunhui56@outlook.com,0
M000087,2025-06-23,S05,1954,M,一般,cf9fe9b0cff93bca,chung.yating21@icloud.com,1
M000088,2026-02-04,S05,1954,M,一般,62e2c3d9157b891b, chung.yating21@icloud.com ,0
M000089,2025-01-08,S03,2004,M,銀卡,ed0d94163044cfc9,kuo.shengwei26@yahoo.com.tw,0
M000090,2025-02-10,S03,2004,F,一般,27965b7fb88d1874,chiu.hungyu35@icloud.com,1
M000091,2025-01-25,S06,1949,M,VIP,9ff9a994b8f840bd,,1
M000092,2026-03-07,S02,1965,M,一般,43cd2d7601040e88,lu.tzuchi89@outlook.com,1
M000093,2025-10-24,S02,1989,F,銀卡,9817d2498b0a9580,hsieh.kuanting80@yahoo.com.tw,1
M000094,2026-05-19,S01,1975,F,一般,563c3b8f18ff16fd,,0
M000095,2025-09-11,S01,1975,M,一般,d88183668177a54d,cheng.tzuchi87@msa.hinet.net,1
M000096,2025-02-22,S06,1961,F,銀卡,89b159e5efa24fb1,liao.chihyuan65@gmail.com,1
M000097,2025-02-14,S03,2006,F,一般,37645302b0604d60,,0
M000098,2025-12-12,S01,1987,M,一般,eae0834dbabbe022,wu.chengen58@icloud.com,1
M000099,2025-07-13,S05,1991,F,一般,2482165083918a89,,1
M000100,2025-03-06,S03,1998,F,一般,94c40a339e0dc3e2,liu.polin60@gmail.com,0
M000101,2025-05-04,S04,1990,M,一般,b3a3f6dbcd48f9af,li.ruoyu49@gmail.com,1
M000102,2025-05-08,S01,,F,一般,ee379b4674a8d56b,huang.chengen75@yahoo.com.tw,1
M000103,2025-04-18,S01,,F,銀卡,eef5706caebe5c9b,liao.yuhsuan71@gmail.com,1
M000104,2025-03-10,S02,2003,M,一般,13f0988349950edf,tsai.chiahao91@outlook.com,1
M000105,2025-02-25,S03,,M,一般,2fb586775b3a760f,liu.kuanting55@icloud.com,1
M000106,2025-01-27,S03,2007,F,一般,c1f98c68d8c662f0,hsieh.wanju82@msa.hinet.net,0
M000107,2025-07-06,S04,2005,F,一般,a0c241e60780c482,chang.chiahao22@icloud.com,1
M000108,2025-03-25,S03,2008,F,一般,6db387fabc9f3579,kuo.chengen68@outlook.com,0
M000109,2025-01-30,S03,2000,M,一般,c9de3639427d9b23,hsu.shengwei56@gmail.com,1
M000110,2026-01-05,S01,1995,F,一般,2dbf1dea07142577,lin.chihyuan84@gmail.com,0
M000111,2025-04-21,S05,1978,F,銀卡,abd25df953c6e70a,huang.hsinyi83@outlook.com,0
M000112,2025-11-26,S02,,F,一般,053724e04a42b5c6,lin.yating68@hotmail.com,0
M000113,2025-06-11,S04,1995,F,銀卡,61deebb4496f4c2c,lai.ruoyu42@outlook.com,1
M000114,2026-01-22,S01,2002,F,一般,98d3791b214548a6,hung.wanju62@hotmail.com,1
M000115,2025-01-16,S06,1985,M,一般,958fdc79848a986a,huang.meiling59@msa.hinet.net,1
M000116,2025-05-03,S06,1993,F,一般,69033cfb8c614f20,hsieh.tsungyen21@outlook.com,0
M000117,2025-06-15,S05,1995,M,銀卡,9a107eebb3b2a2af,li.yuhsuan76@yahoo.com.tw,0
M000118,2025-10-12,S05,1946,M,一般,5e3270a28a01de36,kuo.yijun67@gmail.com,1
M000119,2025-12-16,S05,1946,M,一般,a8279d41a9a994d4,KUO.YIJUN67@GMAIL.COM,0
M000120,2025-10-01,S99,1974,F,一般,35b13c1b31a4c4ce,yang.chiaying52@outlook.com,1
M000121,2026-01-12,S99,1999,F,一般,8c50da5cbc2fbb57,hsieh.yuhsuan42@hotmail.com,0
M000122,2025-06-23,S05,1981,F,VIP,f6e837a2c8b7fccd,lai.tsungyen82@msa.hinet.net,1
M000123,2026-01-11,S05,1958,F,金卡,df682a4497673171,cheng.kuanting60@gmail.com,1
M000124,2025-06-19,S01,1999,M,一般,16e414215c25b61c,yeh.peichun09@yahoo.com.tw,0
M000125,2025-04-25,S06,1993,F,銀卡,8136756bb14c2e35,wu.yuhsuan46@outlook.com,1
M000126,2025-06-24,S05,1956,F,銀卡,613ca13e51f92f27,chiu.chiahao12@yahoo.com.tw,1
M000127,2025-03-23,S03,2008,M,一般,b81a944013382c43,wu.chihyuan71@outlook.com,0
M000128,2025-04-23,S01,1981,M,銀卡,944ad937f14fd373,huang.peichun75@gmail.com,1
M000129,2025-02-11,S05,1987,M,一般,c0c043f934a6c4ab,yang.tsungyen58@icloud.com,1
M000130,2025-01-02,S06,1997,M,一般,5c9968ed402735bd,liao.shengwei16@yahoo.com.tw,1
M000131,2025-03-15,S05,1988,M,一般,c32ebc6fdccbf4ec,su.yuchen97@gmail.com,1
M000132,2025-04-23,S06,1974,F,銀卡,d5422e0a82e02b35,hung.peiyu50@hotmail.com,0
M000133,2025-04-19,S04,2004,M,銀卡,f5df34f0798accce,su.yuhsuan78@outlook.com,1
M000134,2025-02-02,S99,1999,M,一般,3bb22baf32c166e7,su.tsungyen66@outlook.com,1
M000135,2025-07-28,S01,1976,M,一般,9f93d56b81fa7ad1,yeh.chunhui59@hotmail.com,0
M000136,2025-01-29,S05,2004,F,一般,8840bcda8ff949af,yeh.chiahao27@hotmail.com,1
M000137,2025-01-17,S05,1986,M,一般,2f721acd5ec42509,chiu.shengwei98@icloud.com,1
M000138,2025-01-09,S03,1997,F,一般,70da92a7bd93cb07,lin.chiahao78@yahoo.com.tw,1
M000139,2025-01-20,S01,1987,F,金卡,893b47d24e212768,su.tsungyen31@hotmail.com,0
M000140,2025-03-11,S03,1999,F,一般,295914adcd886e79,yang.chengen93@icloud.com,1
M000141,2025-03-23,S03,2001,M,一般,52e66390308a09e9,lai.hungyu91@hotmail.com,1
M000142,2026-04-25,S99,1972,F,一般,c8c82fd6514cb450,chiang.hungyu21@icloud.com,0
M000143,2025-01-26,S01,1985,F,一般,e8cc516cb0efdd9b,,1
M000144,2026-02-08,S01,1993,F,一般,b1aa3a1ea5c73de4,liao.meiling65@yahoo.com.tw,1
M000145,2025-01-27,S05,,M,VIP,c5bedd4dd35f9a09,yeh.polin33@gmail.com,1
M000146,2025-03-15,S03,2003,F,一般,0d3619ad294110fb,lai.yuchen13@outlook.com,1
M000147,2025-01-09,S04,1991,F,VIP,752b78afc1ed4906,li.kuanting83@hotmail.com,0
M000148,2025-04-08,S05,1949,M,銀卡,8081b1d5472bd72c,yeh.polin73@outlook.com,0
M000149,2025-09-11,S04,1989,M,銀卡,0a0831dd3e255892,huang.chiahao30@yahoo.com.tw,1
M000150,2026-03-07,S04,1989,M,銀卡,699ed7d4341fb99e, huang.chiahao30@yahoo.com.tw ,0
M000151,2025-01-04,S01,1990,M,一般,18d09e4054ab527a,tsai.peichun45@yahoo.com.tw,0
M000152,2025-04-27,S02,1965,M,銀卡,b14ce13c71f592c4,lai.hungyu64@hotmail.com,1
M000153,2025-04-23,S04,1974,F,一般,4045eb594f79528c,huang.ruoyu21@outlook.com,1
M000154,2025-01-05,S01,1987,F,一般,64cf89aecafe6605,,1
M000155,2025-09-26,S01,2000,F,一般,6a0829c33a51d926,chou.weiting59@icloud.com,0
M000156,2025-11-11,S01,1971,F,一般,16c4721c0a9a4466,su.meiling46@msa.hinet.net,1
M000157,2025-04-01,S02,1985,M,一般,c47123551f6ba9f6,yeh.yating68@hotmail.com,0
M000158,2025-04-23,S99,1972,F,銀卡,96e465f16d66cd39,liao.tzuchi34@hotmail.com,1
M000159,2026-05-29,S01,1997,F,一般,a1cc60661485584d,liu.shengwei38@icloud.com,0
M000160,2025-11-25,S01,2003,M,一般,b0dfbba8aa1dc2ba,yeh.chihyuan52@outlook.com,1
M000161,2026-03-29,S99,1996,M,一般,f4a3d87deeede00f,li.chiahao17@msa.hinet.net,0
M000162,2025-03-04,S03,1999,F,一般,0a24e6150e98debb,wang.shengwei86@hotmail.com,1
M000163,2025-04-19,S03,1961,F,銀卡,765563097a882fe7,chung.wanju19@msa.hinet.net,0
M000164,2026-02-28,S04,1996,F,VIP,823dc42875d2268b,hsieh.polin06@msa.hinet.net,1
M000165,2025-03-12,S03,2006,M,一般,b9d788ebdf5de9d1,li.chihyuan37@icloud.com,1
M000166,2025-06-29,S99,1969,F,一般,dcd80b2ba5776ffa,,0
M000167,2025-02-18,S03,2008,M,一般,1a6f9a2c36b97a31,huang.yating39@outlook.com,1
M000168,2025-10-06,S03,,M,金卡,d2ad8dd2d41dee78,li.polin15@outlook.com,1
M000169,2025-01-17,S03,2004,M,一般,a6778e3da1668597,kuo.kuanting30@gmail.com,1
M000170,2025-01-14,S99,1997,F,一般,41104d023b03d501,chiang.yuchen02@outlook.com,0
M000171,2025-07-30,S06,1999,M,VIP,aa7fa945102d99bb,yeh.shengwei52@hotmail.com,0
M000172,2025-06-01,S99,2001,M,一般,394d29a3219fecc8,chang.yijun69@yahoo.com.tw,0
M000173,2025-09-08,S05,1945,M,一般,bfb169f11141ff39,wu.tsungyen44@hotmail.com,0
M000174,2025-02-18,S03,2001,F,一般,77d3c5b9e3aae9a2,chiang.hsinyi26@msa.hinet.net,1
M000175,2026-03-09,S01,2005,F,一般,8551f000103b41ed,,1
M000176,2025-03-31,S99,1993,F,一般,9219ea860f2a8a26,yang.hsinyi31@yahoo.com.tw,1
M000177,2025-02-28,S03,1999,M,一般,866b64fffaf63ba5,huang.yijun37@msa.hinet.net,0
M000178,2025-09-08,S04,1988,F,VIP,430a5b04a04dd542,chiang.wanju72@yahoo.com.tw,0
M000179,2025-04-25,S04,1960,F,一般,bfa51d8b98b98c5d,chiu.ruoyu56@outlook.com,1
M000180,2025-04-19,S05,1992,F,銀卡,ffd41798f9e6860e,lin.hungyu11@msa.hinet.net,1
M000181,2026-03-24,S01,1988,F,一般,50a0e677828cab21,lu.yuchen88@msa.hinet.net,1
M000182,2025-09-18,S01,1967,M,一般,aa594fa8a2da9a9d,liu.tzuchi28@hotmail.com,1
M000183,2025-01-11,S03,2000,M,一般,dc7fb94f7d5792a2,,1
M000184,2025-04-19,S02,1994,F,銀卡,8d75469b238cf561,chang.tsungyen73@hotmail.com,1
M000185,2025-03-11,S03,2002,F,一般,de1d6ce194ef7306,,1
M000186,2025-10-18,S05,1960,M,一般,57791a47ed590858,li.chunhui16@hotmail.com,1
M000187,2025-10-09,S01,1989,M,一般,471a5a9055e040ca,yeh.yuchen38@msa.hinet.net,1
M000188,2025-03-29,S06,2003,F,一般,409d0d0d8ec8ec8b,tsai.kuanting05@hotmail.com,1
M000189,2025-02-03,S04,,M,銀卡,3df429c54447998a,yeh.chihyuan16@yahoo.com.tw,1
M000190,2025-02-19,S03,1998,M,一般,99c198f2a3e6e9a0,lai.chihyuan83@gmail.com,0
M000191,2025-04-02,S01,1989,F,一般,b5fd93254e914840,huang.wanju15@gmail.com,1
M000192,2025-02-15,S01,1960,F,銀卡,8c85057945f0ba9e,kuo.shengwei56@yahoo.com.tw,0
M000193,2025-04-18,S05,1978,M,銀卡,9090b0df49ccedec,su.yuchen74@icloud.com,0
M000194,2025-11-09,S99,1995,F,一般,2721bff6027881ad,liao.peiyu03@outlook.com,1
M000195,2025-01-22,S03,2007,F,銀卡,f4c291c0d6836103,chung.yuhsuan10@msa.hinet.net,1
M000196,2025-01-09,S03,2003,M,一般,e34528f618bb0b87,su.peichun03@icloud.com,1
M000197,2025-02-16,S04,1996,F,VIP,c8e9a535c93eb84c,tsai.wanju97@yahoo.com.tw,1
M000198,2025-05-26,S99,1986,M,VIP,7fe8362adec74e86,,1
M000199,2025-03-01,S03,2005,F,一般,1fd389d080440644,,0
M000200,2025-10-29,S01,1984,M,一般,24f61f5ddc5224eb,kuo.mingchieh46@icloud.com,1
M000201,2025-02-12,S01,1958,F,銀卡,d3f08ec10831f9d1,hsu.yuchen69@yahoo.com.tw,1
M000202,2025-03-06,S02,1987,M,一般,3c72244560c6e9c5,kuo.yijun27@gmail.com,1
M000203,2025-02-28,S03,2003,M,一般,6b2b51d72a98b65f,chang.yuchen18@gmail.com,0
M000204,2025-05-09,S01,2001,M,一般,c4b4fc875909d853,liao.ruoyu87@yahoo.com.tw,1
M000205,2025-02-28,S99,1987,F,一般,88342df4e538471a,hung.yuhsuan92@outlook.com,0
M000206,2026-02-06,S01,2002,F,一般,81d11d23c186389b,kuo.polin51@gmail.com,1
M000207,2025-12-23,S06,1967,M,銀卡,2e60ab0f3ab69e49,lu.meiling68@gmail.com,1
M000208,2026-06-09,S06,1967,M,一般,c5266082e6cef93f,Lu.meiling68@gmail.com,0
M000209,2025-10-12,S01,2002,M,金卡,eca8f755113dbfbf,chou.yuchen62@gmail.com,0
M000210,2025-05-08,S02,1968,F,金卡,2bba819601ed7d0d,chiang.tsungyen20@icloud.com,0
M000211,2026-06-19,S99,1974,M,一般,0b97189ac2fb70a8,hung.hsinyi05@outlook.com,0
M000212,2025-10-19,S99,1988,F,銀卡,98ef5f8a21fa5f36,kuo.chengen10@hotmail.com,0
M000213,2025-12-15,S02,1969,F,一般,1d11b19b7a0e63c9,chou.chihyuan71@hotmail.com,1
M000214,2025-12-24,S01,1992,F,一般,bc295bdb3a890b33,chung.ruoyu53@icloud.com,1
M000215,2025-12-08,S01,1988,M,一般,963fd8215e9d3967,chiang.meiling09@icloud.com,0
M000216,2025-11-20,S01,1985,F,一般,79fceb026cfc67dd,cheng.yuhsuan98@msa.hinet.net,1
M000217,2026-03-20,S99,1996,M,一般,9c5b28c742049650,chiu.yijun04@icloud.com,1
M000218,2025-03-28,S02,1989,F,一般,457244b2efa3e9c2,chang.weiting39@msa.hinet.net,0
M000219,2025-05-22,S05,1996,F,一般,602c516724e26cfb,yeh.yating17@outlook.com,0
M000220,2025-04-21,S02,1978,F,一般,f2db23f768cb4c05,yang.yuhsuan70@icloud.com,1
M000221,2025-02-28,S03,2003,M,一般,a2f383bceadacd51,liao.yuhsuan23@hotmail.com,0
M000222,2026-02-21,S04,1992,M,VIP,62f798e80842183a,su.tzuchi45@hotmail.com,1
M000223,2025-03-01,S01,2003,F,一般,ef3247fe22b3a061,wu.wanju13@yahoo.com.tw,1
M000224,2025-03-13,S01,2002,M,一般,a3eaffb79e9dbd4c,chiang.chihyuan11@gmail.com,0
M000225,2025-01-10,S01,1992,F,金卡,69d13b60765a5645,huang.yuchen66@msa.hinet.net,1
M000226,2026-02-28,S99,1974,F,一般,2fdbaaf2726e30c3,chung.shengwei39@gmail.com,1
M000227,2025-02-09,S02,1994,F,銀卡,b31ca222ccd8bafb,su.mingchieh52@outlook.com,1
M000228,2026-04-30,S03,1985,M,一般,b514e92675cc0705,huang.weiting08@hotmail.com,1
M000229,2025-01-24,S01,1999,F,一般,563c71d68cfbdc79,chiu.peiyu93@yahoo.com.tw,1
M000230,2025-02-14,S03,2005,F,一般,274918cd52ba7ccc,chou.tsungyen10@gmail.com,1
M000231,2025-08-17,S01,1974,M,一般,eae34009bbfe8231,tseng.kuanting41@outlook.com,1
M000232,2025-10-14,S99,1966,F,金卡,8ccc547a5975fa39,hung.hsinyi83@yahoo.com.tw,1
M000233,2025-07-31,S03,1973,F,VIP,5480e875b1ae0e4b,,1
M000234,2026-02-04,S01,1982,F,一般,62acf590b9e0a7a1,wu.chiahao16@icloud.com,0
M000235,2025-03-26,S03,1998,F,一般,91a5b1157a179ce0,liu.ruoyu53@icloud.com,0
M000236,2025-11-28,S01,2004,F,一般,882c7700c7f866c6,,1
M000237,2026-04-10,S03,2002,M,一般,d00459e462922802,li.shengwei10@gmail.com,1
M000238,2025-01-09,S03,1999,F,一般,c0d871e8d8906e6b,hung.tzuchi93@gmail.com,0
M000239,2025-04-24,S04,1992,F,銀卡,6114f71d5e4b2209,chou.tzuchi54@hotmail.com,1
M000240,2025-08-17,S01,2000,F,一般,8a53036d3ec9b6cc,chou.mingchieh96@yahoo.com.tw,1
M000241,2025-01-01,S01,1977,F,一般,fc6a9823e01acc53,hung.kuanting35@outlook.com,1
M000242,2025-09-21,S04,1990,M,VIP,2e91a50d3da82b5b,,1
M000243,2025-02-25,S02,1998,F,一般,f031911a8277d406,wang.chunhui06@icloud.com,1
M000244,2025-04-24,S99,1966,M,銀卡,6cb839ce9e9072eb,su.hungyu66@yahoo.com.tw,0
M000245,2025-10-20,S02,1987,M,金卡,d7d33f352a45c165,cheng.chengen52@hotmail.com,1
M000246,2025-03-28,S02,1960,M,一般,e707963e4c78e753,chang.tsungyen74@yahoo.com.tw,1
M000247,2025-04-25,S03,2003,M,銀卡,53eacfd832e551fb,huang.kuanting65@outlook.com,1
M000248,2025-08-05,S04,1991,F,金卡,25a1b60a2e8d831c,chou.chengen80@outlook.com,1
M000249,2025-03-10,S04,1997,M,VIP,104cf37bccd974e3,kuo.chiaying53@hotmail.com,1
M000250,2025-01-08,S05,1974,M,金卡,6a0087947270359b,chou.yijun94@hotmail.com,1
M000251,2025-12-13,S05,1974,M,銀卡,c3b3b409cd8030e2,CHOU.YIJUN94@HOTMAIL.COM,0
M000252,2025-06-14,S99,2001,M,一般,a822dc865525abda,hsu.mingchieh87@hotmail.com,0
M000253,2025-03-20,S03,2002,F,一般,f281e1977cc23b4b,hsu.shuchen63@yahoo.com.tw,1
M000254,2025-03-12,S03,2006,F,一般,2b9d36b7fe0a3b87,hung.peiyu57@icloud.com,1
M000255,2025-01-19,S06,1991,M,一般,ac0828fa441e6935,kuo.kuanting71@yahoo.com.tw,1
M000256,2025-02-09,S03,2000,F,一般,d2106ac2531b989c,lu.yuhsuan95@hotmail.com,0
M000257,2025-04-18,S04,1990,M,銀卡,2810a7cc52485ad2,chang.chunhui60@gmail.com,0
M000258,2025-01-12,S01,1989,F,一般,eb61dc43cb6a69cc,,1
M000259,2025-03-28,S02,1995,F,一般,f59e3ff32c530c38,chiu.shuchen99@hotmail.com,1
M000260,2025-02-16,S04,1984,F,一般,9edc368ee73517f9,chiu.weiting23@gmail.com,0
M000261,2025-02-24,S99,2001,M,金卡,831d23dacfeb9d24,wu.shuchen28@icloud.com,0
M000262,2025-03-20,S06,2003,F,金卡,bd02dd7185d24e22,yang.yating37@outlook.com,1
M000263,2025-09-28,S06,2003,F,金卡,1b5860af44ae3b55,YANG.YATING37@OUTLOOK.COM,0
M000264,2025-02-07,S05,2004,M,一般,f0b40485e6488775,,0
M000265,2025-04-11,S99,1971,M,銀卡,010144e8c097897d,tseng.yuchen78@icloud.com,1
M000266,2025-08-18,S99,2000,F,一般,120a145c731d48ca,su.hsinyi28@outlook.com,0
M000267,2025-05-08,S99,1968,M,一般,d54953f44fcdafc2,liu.shuchen71@yahoo.com.tw,1
M000268,2026-05-27,S03,1974,F,一般,825a627a082138a0,chou.kuanting49@yahoo.com.tw,0
M000269,2025-05-27,S04,1997,M,VIP,0d3af300cab3ed75,tseng.wanju86@hotmail.com,1
M000270,2025-04-19,S99,1999,F,銀卡,efb87185307a4a8d,,0
M000271,2025-12-02,S04,,F,金卡,aa522a366fb67553,su.yijun45@icloud.com,1
M000272,2025-07-23,S99,1998,M,一般,e0a9909bfcaf8140,yeh.chihyuan09@msa.hinet.net,1
M000273,2025-01-03,S01,1968,M,銀卡,947e35abad99e514,kuo.yuhsuan24@hotmail.com,1
M000274,2025-03-03,S03,1997,F,一般,0a6d1177cd179d7c,liu.hungyu45@hotmail.com,0
